"V1","V2"
0.1,0.1
0.9,0.1
0.9,0.2
0.1,0.2
0.1,0.3
0.9,0.3
0.9,0.4
0.1,0.4
0.1,0.5
0.9,0.5
0.9,0.6
0.1,0.6
0.1,0.7
0.9,0.7
0.9,0.8
0.1,0.8
0.1,0.9
0.9,0.9
0.755102040816326,0.285714285714286
0.73469387755102,0.306122448979592
0.73469387755102,0.306122448979592
0.693877551020408,0.346938775510204
0.714285714285714,0.36734693877551
0.714285714285714,0.36734693877551
0.755102040816326,0.36734693877551
0.816326530612245,0.510204081632653
0.775510204081633,0.551020408163265
0.775510204081633,0.551020408163265
0.775510204081633,0.551020408163265
0.755102040816326,0.571428571428571
0.755102040816326,0.571428571428571
0.73469387755102,0.551020408163265
0.755102040816326,0.551020408163265
0.795918367346939,0.673469387755102
0.795918367346939,0.673469387755102
0.795918367346939,0.673469387755102
0.795918367346939,0.673469387755102
0.795918367346939,0.673469387755102
0.755102040816326,0.73469387755102
0.73469387755102,0.73469387755102
0.755102040816326,0.755102040816326
0.775510204081633,0.775510204081633
0.775510204081633,0.775510204081633
0.775510204081633,0.775510204081633
0.775510204081633,0.775510204081633
0.775510204081633,0.775510204081633
0.775510204081633,0.775510204081633
0.775510204081633,0.795918367346939
0.775510204081633,0.795918367346939
