"s1","s2"
0.0325269119345812,0.0325269119345812
0.0650538238691624,0.0650538238691624
0.0975807358037435,0.0975807358037435
0.130107647738325,0.130107647738325
0.162634559672906,0.162634559672906
0.195161471607487,0.195161471607487
0.227688383542068,0.227688383542068
0.260215295476649,0.260215295476649
0.302762798690651,0.269293352618383
0.328415879790365,0.234156184529512
0.306808752360858,0.196395978022408
0.263517970501589,0.200709834444139
0.250548959424339,0.242080032867727
0.283998477799758,0.269662967562596
0.322140795610827,0.249051025443321
0.317396272476904,0.20595603656804
0.2762279983654,0.190182758185263
0.240856079926346,0.216497212202049
0.244129183573242,0.260462083369575
0.283007692158407,0.281248729911377
0.325246443184237,0.265471536999988
0.347724361060951,0.226384773098214
0.340116729203261,0.181942047687826
0.305917939006611,0.152557108459188
0.260683853005224,0.149167764551126
0.220960422502595,0.171068889125239
0.199681929351229,0.211129292489599
0.203776829234178,0.256304971604103
0.239497711811134,0.280961464146259
0.276047415964581,0.257551141575786
0.268588557215192,0.214792639465507
0.226271297657832,0.205139991118393
0.190672242293374,0.233146195472265
0.177445254619539,0.276466941336444
0.191329189758674,0.319581632222554
0.227349826915021,0.347043495305807
0.271414014538426,0.341877403137216
0.293680671647882,0.303503751755377
0.276300256888041,0.262683875200187
0.233205370491793,0.252140066320115
0.205571271581943,0.284910363418861
0.22947276628156,0.32049483117691
0.270260360798751,0.30730741566057
0.268805137851525,0.26446563557765
0.265259644418784,0.221304155673107
0.304127513403974,0.202205133923762
0.336128811948263,0.231383906391279
0.320689619102734,0.27184518659236
0.293219984950003,0.307821798188454
0.291805472267128,0.353064438874991
0.316974032518903,0.390686785389714
0.359331774499868,0.406646706338615
0.405056720820934,0.402988486501773
0.448312200368739,0.387720324283338
0.486201930579945,0.361864538993366
0.516188906522747,0.327152371641775
0.536181022082373,0.285871607252553
0.544731594332382,0.240808607937091
0.541250418509792,0.195073855199155
0.525977783391915,0.151824198441394
0.498463721764926,0.115248643593621
0.460139054797904,0.0902283577938349
0.415584777650723,0.0797540469559618
0.370126518544463,0.0850777184958166
0.327491017196256,0.102176499670119
0.288658846703026,0.126716606182609
0.254915214648945,0.157885847249058
0.227376915982183,0.194652631163345
0.206609630823179,0.235639090102815
0.192881937627398,0.279487925763467
0.186569344447405,0.324999694753654
0.187844526294059,0.370929465714658
0.206993098084023,0.411855541349039
0.247091775945762,0.432681186649172
0.291584741481339,0.424807973437507
0.322101876355869,0.391486569693423
0.326687219015471,0.346466521160631
0.304031776155378,0.307293047405882
0.262723235208613,0.288815098871198
0.218419857201272,0.298036857615581
0.173961771394296,0.302775283440069
0.140281959018246,0.273370448612636
0.138979138062784,0.228679546513074
0.1708888019711,0.197362659340609
0.215700874746855,0.198623352917559
0.246529502197101,0.231170348850954
0.245360057019466,0.275984895738445
0.212875901425247,0.306879731068725
0.167694029494814,0.309334945991699
0.129682778661943,0.28478755424478
0.113333493237659,0.242595961509125
0.124879146858221,0.19884521849909
0.16001219872378,0.170359163419645
0.205194687418949,0.168278446550834
0.242797132273356,0.193414930162279
0.258147663855642,0.235960762478952
0.23525566822247,0.272869168714815
0.192324887719259,0.266294824616293
0.18152713771821,0.224227230082548
0.215984430278895,0.197789210029449
0.251627181487763,0.221426949278361
0.237877360791002,0.261924984555937
0.195210659181632,0.258975238072958
0.187164646865979,0.216970356019163
0.225163612234305,0.196360216823644
0.257758207229176,0.224755490793835
0.242550537183606,0.265220611311473
0.199322200636366,0.265119982884002
0.185528780367919,0.224422435897397
0.220306116323528,0.199181879697908
0.254723574098069,0.224910994991025
0.240356856739372,0.265409713560434
0.196482098368612,0.269173789072941
