V1,V2
0.000557667033916,0.00727806502503
0.0473093453627,0.0443431776354
0.0906617411993,0.0865699763384
0.133957304727,0.12997984401
0.180083827656,0.17451581807
0.223983234468,0.218157917798
0.269917948354,0.253733239856
0.317927041523,0.291424940846
0.365836678151,0.331364472877
0.410208503534,0.374866357024
0.375768124178,0.41846902112
0.313298760345,0.414665673473
0.246304123894,0.409810708965
0.200277,0.379840
0.229230,0.329489
0.277544,0.282981
0.322786,0.238905
0.371619,0.195868
0.432068,0.176566
0.423053,0.129923
0.385078,0.178976
0.434085,0.177158
0.391816,0.143563
0.396302,0.193379
0.424122,0.149505
0.373591,0.156454
0.409079,0.188283
0.413494,0.142244
0.377910,0.180392
0.426914,0.182994
0.393883,0.146030
0.399361,0.198791
0.425248,0.153952
0.371893,0.152476
0.402969,0.192420
0.427134,0.138121
0.383476,0.159061
0.432082,0.173087
0.397773,0.144286
0.421099,0.190290
0.435087,0.143235
0.387046,0.169924
0.438195,0.182740
0.408628,0.143335
0.385540,0.189769
0.440649,0.181299
0.393344,0.147761
0.397837,0.194247
0.427642,0.155648
0.378553,0.162466
0.418726,0.192858
0.414577,0.142590
0.380087,0.182898
0.428430,0.171729
0.386410,0.138700
0.392548,0.186675
0.427159,0.150307
0.380166,0.164210
0.428018,0.169626
0.390168,0.133923
0.386662,0.183866
0.434767,0.155372
0.392743,0.124551
0.392402,0.178915
0.438678,0.160166
0.390822,0.152936
0.423223,0.189019
0.406717,0.142262
0.386474,0.190465
0.435275,0.179542
0.399084,0.141605
0.389063,0.193822
0.430895,0.161888
0.383263,0.155582
0.410148,0.194128
0.417931,0.139900
0.375814,0.169801
0.422616,0.179090
0.420836,0.127421
0.379590,0.161125
0.431482,0.172995
0.409733,0.122062
0.391717,0.176615
0.445899,0.168872
0.417476,0.131829
0.389688,0.180396
0.439463,0.171541
0.394597,0.148756
0.412610,0.193388
0.426683,0.140755
0.378528,0.172899
0.430512,0.174428
0.389305,0.151818
0.407996,0.197296
0.418740,0.144111
0.368373,0.172505
0.417128,0.189685
0.413473,0.137530
0.380656,0.168881
0.432249,0.167707
0.391401,0.138651
0.404110,0.189580
0.430295,0.149010
0.382680,0.161888
0.429404,0.177789
0.405243,0.135404
0.400959,0.190557
0.429901,0.146534
0.385423,0.171234
0.429876,0.186798
0.404039,0.141048
0.387927,0.188827
0.430711,0.161283
0.380819,0.138042
0.396956,0.188857
0.429311,0.148076
0.379111,0.149680
0.415533,0.187446
0.424925,0.134511
0.375793,0.148834
0.421127,0.181829
0.416797,0.133630
0.389593,0.172198
0.437556,0.175743
0.399354,0.143778
0.406415,0.195447
0.431144,0.153545
0.380361,0.161822
0.421262,0.183608
0.402135,0.132933
0.377114,0.182902
0.429872,0.173009
0.402955,0.126185
0.386566,0.168701
0.439694,0.175502
0.411263,0.130230
0.396942,0.184944
0.440912,0.161406
0.390502,0.140619
0.403733,0.187052
0.435382,0.147275
0.386321,0.151770
0.428121,0.191197
0.423081,0.142512
0.386531,0.175804
0.439530,0.180120
0.409203,0.140904
0.398657,0.184261
0.439985,0.154325
0.391866,0.144036
0.416709,0.190912
0.446357,0.142682
0.391230,0.146999
0.416130,0.194676
0.423482,0.141758
0.384595,0.173350
0.434550,0.188713
0.411555,0.142748
0.391653,0.186141
0.434835,0.160582
0.385462,0.153505
0.418769,0.184638
0.413306,0.130567
0.384275,0.171164
0.432561,0.163281
0.385724,0.144313
0.401357,0.191907
0.421085,0.147608
0.384076,0.172395
0.434874,0.177048
0.404060,0.132692
0.402959,0.183744
0.437953,0.146315
0.386701,0.149119
0.421106,0.188156
0.418304,0.139440
0.391163,0.179805
0.442951,0.173429
0.402149,0.142788
0.405079,0.193292
0.438436,0.159868
0.387571,0.154101
0.413913,0.199842
0.423674,0.147603
0.377977,0.151871
0.422918,0.183893
0.410102,0.132385
0.387554,0.174682
0.434604,0.164355
0.394121,0.140549
0.407591,0.190632
0.437637,0.146613
0.390019,0.140895
0.417874,0.191188
0.434661,0.143800
0.384709,0.157510
0.421032,0.187135
0.406522,0.139265
0.400913,0.186868
0.442312,0.161669
0.390012,0.150101
0.422896,0.192446
0.433908,0.138673
0.385845,0.160205
0.427841,0.190741
0.418055,0.142595
0.394086,0.179883
0.435950,0.160722
0.388289,0.144483
0.413956,0.192179
0.429105,0.144036
0.381192,0.164337
0.425354,0.187600
0.408376,0.139322
0.385682,0.193822
0.435602,0.178218
0.393304,0.146744
0.393123,0.195035
0.429194,0.161769
0.383913,0.150982
0.412897,0.187315
0.419707,0.134164
0.381771,0.169087
0.429872,0.168933
0.387809,0.132653
0.395723,0.183279
0.430711,0.141872
0.382655,0.149330
0.416197,0.181557
0.406369,0.127031
0.371399,0.164819
0.423532,0.180466
0.406337,0.133941
0.402369,0.187122
0.439562,0.150999
0.385739,0.146736
0.421433,0.186268
0.420381,0.136097
0.393734,0.179857
0.436216,0.159456
0.389635,0.149185
0.420659,0.193055
0.425180,0.138239
0.386360,0.170292
0.437396,0.163916
0.391667,0.138572
0.414673,0.182039
0.417156,0.130944
0.384009,0.170625
0.434419,0.163601
0.389688,0.138218
0.412350,0.188397
0.431194,0.140478
0.383821,0.164894
0.434231,0.166900
0.398078,0.135983
0.410258,0.189848
0.434170,0.142052
0.383664,0.158619
0.434902,0.180453
0.410478,0.140825
0.392200,0.181338
0.432338,0.159351
0.385959,0.146433
0.409004,0.188581
0.433925,0.145627
0.382911,0.154978
0.427581,0.175550
0.396501,0.141942
0.409519,0.192748
0.432330,0.147147
0.386978,0.165634
0.430998,0.181544
0.398256,0.141683
0.398061,0.197108
0.434245,0.161436
0.384453,0.159136
0.421561,0.190614
0.411732,0.140798
0.397695,0.182692
0.431034,0.146552
0.382073,0.159158
0.432291,0.165178
0.406156,0.119700
0.389891,0.172110
0.440905,0.163522
0.403492,0.133363
0.400607,0.184979
0.421713,0.140860
0.386115,0.168241
0.440830,0.158124
0.400671,0.135518
0.406593,0.184594
0.429912,0.136758
0.378333,0.149588
